product,signal,label,label_basis,year,q_start,quarter_label
Alli),Rectal bleeding,음성,mixed_reviewed,2008,April,April - June 2008
Aripiprazole (Abilify),"Torsades de pointes, hepatotoxicity, and blood dyscrasias",음성,pure_noaction,2008,April,April - June 2008
Etravirine (Intelence),Neuropsychiatric events,음성,pure_noaction,2008,April,April - June 2008
Fluoroquinolone antibiotics,Central nervous system events,음성,mixed_reviewed,2008,April,April - June 2008
"Furosemide (Lasix), Torsemide (Demadex), Spironolactone (Aldactone)",Serious skin reactions,양성,mixed_reviewed,2008,April,April - June 2008
Leukotriene receptor antagonists,Suicidal behavior and suicide,양성,trunc_verified,2008,April,April - June 2008
Levonorgestrel (Plan B),Syncope and loss of consciousness,음성,pure_noaction,2008,April,April - June 2008
Orlistat (Xenical,Rectal bleeding,양성,mixed_reviewed,2008,April,April - June 2008
Phenylephrine HCl Injection,Labeling confusion resulting in incorrect dose and overdose,음성,pure_noaction,2008,April,April - June 2008
Propafenone (Rythmol),Hepatotoxicity,음성,pure_noaction,2008,April,April - June 2008
Simvastatin (Zocor) and Amiodarone (Cordarone),Interaction resulting in rhabdomyolysis,양성,mixed_reviewed,2008,April,April - June 2008
Sulfonylurea antidiabetic drugs,Hemolytic anemia in patients with and without G6PD deficiency,양성,mixed_reviewed,2008,April,April - June 2008
Temsirolimus (Torisel),Labeling confusion resulting in incorrect dose,양성,pure_update,2008,April,April - June 2008
Trazodone,Prolongation of the electrocardiogram QT interval,양성,mixed_reviewed,2008,April,April - June 2008
Valsartan (Diovan),Hemolytic anemia,음성,pure_noaction,2008,April,April - June 2008
Arginine Hydrochloride Injection (R-Gene 10),Pediatric overdose due to labeling / packaging confusion,음성,pure_noaction,2008,January,January - March 2008
Desflurane (Suprane),Cardiac arrest,보류,oldformat_reviewed,2008,January,January - March 2008
Duloxetine (Cymbalta),Urinary retention,양성,oldformat_reviewed,2008,January,January - March 2008
Etravirine (Intelence),Hemarthrosis,음성,pure_noaction,2008,January,January - March 2008
Fluorouracil Cream (Carac) and Ketoconazole Cream (Kuric),Adverse events due to name confusion,보류,oldformat_reviewed,2008,January,January - March 2008
Heparin,Anaphylactic-type reactions,보류,oldformat_reviewed,2008,January,January - March 2008
Icodextrin (Extraneal),Hypoglycemia,양성,trunc_verified,2008,January,January - March 2008
Insulin U-500 (Humulin R),Dosing confusion,양성,trunc_verified,2008,January,January - March 2008
Ivermectin (Stromectol) and Warfarin,Drug interaction,양성,oldformat_reviewed,2008,January,January - March 2008
Lapatinib (Tykerb),Hepatotoxicity,양성,pure_update,2008,January,January - March 2008
Lenalidomide (Revlimid),Stevens Johnson Syndrome,양성,oldformat_reviewed,2008,January,January - March 2008
Long-Action Opioid Drug Products,"Drug misuse, abuse and overdose",양성,oldformat_reviewed,2008,January,January - March 2008
Natalizumab (Tysabri),Skin melanomas,음성,pure_noaction,2008,January,January - March 2008
Nitroglycerin (Nitrostat),Overdose due to labeling confusion,양성,pure_update,2008,January,January - March 2008
Octreotide Acetate (Sandostatin injection),Ileus,양성,pure_update,2008,January,January - March 2008
Perflutren Lipid Microsphere (Definity),Cardiopulmonary reactions,양성,trunc_verified,2008,January,January - March 2008
Phenytoin Injection (Dilantin),Purple Glove Syndrome,양성,pure_update,2008,January,January - March 2008
Quetiapine (Seroquel),Overdose due to sample pack labeling confusion,음성,oldformat_reviewed,2008,January,January - March 2008
Telbivudine (Tyzeka),Peripheral neuropathy,양성,oldformat_reviewed,2008,January,January - March 2008
Tumor Necrosis Factor (TNF) Blockers,Cancers in children and young adults,양성,trunc_verified,2008,January,January - March 2008
Bupivacaine and other local anesthetics intraarticular injection given by infusion pump,Chondrolysis,양성,trunc_verified,2008,July,July - September 2008
Codeine-containing cough medicine,Adverse events in children,음성,pure_noaction,2008,July,July - September 2008
Mefloquine HCl (Lariam),Psychiatric events,음성,pure_noaction,2008,July,July - September 2008
Minocycline,Thyroid disorders,양성,pure_update,2008,July,July - September 2008
Oral bisphosphonates,Esophageal cancer,음성,pure_noaction,2008,July,July - September 2008
Phenytoin injection,Cardiac arrest due to rapid injection,음성,pure_noaction,2008,July,July - September 2008
Propylthiouracil and Methimazole,Hepatotoxicity,양성,trunc_verified,2008,July,July - September 2008
Selective serotonin and selective norepinephrine reuptake Inhibitors (SSRI and SNRI) antidepressants,Birth defects,음성,pure_noaction,2008,July,July - September 2008
Terbinafine (Lamisil) oral use,Psychiatric events,양성,trunc_verified,2008,July,July - September 2008
Alli),Hepatotoxicity,양성,trunc_verified,2008,October,October - December 2008
Apomorphine (Apokyn),Psychiatric events,양성,pure_update,2008,October,October - December 2008
Artiss),Air embolism,양성,trunc_verified,2008,October,October - December 2008
Clomiphene citrate (Clomid),Visual disorders,양성,pure_update,2008,October,October - December 2008
Clozapine orally disintegrating tablet (FazaClo),Deaths,음성,pure_noaction,2008,October,October - December 2008
Drospirenone/ethinyl estradiol (Yasmin),Pancreatitis,양성,pure_update,2008,October,October - December 2008
Efavirenz (Sustiva),Birth defects involving the eye and face,양성,trunc_verified,2008,October,October - December 2008
"Fibrin sealant products, human (Evicel",Air embolism,양성,trunc_verified,2008,October,October - December 2008
Human chorionic gonadotropin productsChoriogonadotropin alfa (Ovidrel)Chorionic gonadotropin(Pregnyl),Anaphylactic reactions,양성,trunc_verified,2008,October,October - December 2008
Hydrochlorothiazide in combination products,Skin reaction,양성,mixed_reviewed,2008,October,October - December 2008
Imiquimod cream (Aldara),Dysuria due to severe local reactions during use in the genital area,보류,oldformat_reviewed,2008,October,October - December 2008
Modafinil (Provigil) and Armodafinil (Nuvigil),Serious skin reactions,양성,oldformat_reviewed,2008,October,October - December 2008
